"name","n","pct"
"va por mexico",100,0.3333333333333333
"juntos hacemos historia",89,0.2966666666666667
"morena",55,0.18333333333333332
"pan",25,0.08333333333333333
"mc",14,0.04666666666666667
"pri",13,0.043333333333333335
"pvem",4,0.013333333333333334
